EventNum, EventIDType, EventName, EventData
2,2,tackle,86
4,2,tackle,81
8,2,tackle,106
9,2,tackle,112
14,2,tackle,111
21,2,tackle,111
23,2,tackle,112
27,2,tackle,70
29,2,tackle,109
31,2,tackle,79
34,2,tackle,77
38,2,tackle,78
44,2,tackle,77
47,2,tackle,102
49,2,tackle,81
55,2,tackle,105
56,2,tackle,83
60,2,tackle,78
62,2,tackle,71
63,2,tackle,84
64,2,tackle,109
66,2,tackle,75
70,2,tackle,93
75,2,tackle,106
90,2,tackle,88
96,2,tackle,66
98,2,tackle,98
104,2,tackle,87
106,2,tackle,76
115,2,tackle,88
118,2,tackle,110
125,2,tackle,90
126,2,tackle,91
132,2,tackle,66
133,2,tackle,108
134,2,tackle,92
137,2,tackle,86
142,2,tackle,114
145,2,tackle,72
146,2,tackle,94
147,2,tackle,94
154,2,tackle,108
157,2,tackle,101
158,2,tackle,81
163,2,tackle,80
166,2,tackle,96
170,2,tackle,102
173,2,tackle,72
177,2,tackle,79
178,2,tackle,112
181,2,tackle,80
182,2,tackle,92
184,2,tackle,110
191,2,tackle,116
197,2,tackle,66
198,2,tackle,112
201,2,tackle,73
204,2,tackle,74
206,2,tackle,110
210,2,tackle,108
218,2,tackle,80
219,2,tackle,78
221,2,tackle,80
222,2,tackle,111
223,2,tackle,73
228,2,tackle,104
232,2,tackle,84
233,2,tackle,116
236,2,tackle,102
239,2,tackle,101
240,2,tackle,113
241,2,tackle,102
243,2,tackle,94
244,2,tackle,105
245,2,tackle,111
247,2,tackle,101
248,2,tackle,81
252,2,tackle,78
261,2,tackle,91
263,2,tackle,69
267,2,tackle,112
268,2,tackle,105
270,2,tackle,105
283,2,tackle,100
288,2,tackle,86
290,2,tackle,94
291,2,tackle,109
293,2,tackle,94
295,2,tackle,104
299,2,tackle,115
302,2,tackle,69
306,2,tackle,104
312,2,tackle,86
315,2,tackle,76
317,2,tackle,102
318,2,tackle,94
326,2,tackle,94
328,2,tackle,113
329,2,tackle,88
338,2,tackle,72
339,2,tackle,83
342,2,tackle,105
343,2,tackle,93
349,2,tackle,90
350,2,tackle,84
352,2,tackle,103
358,2,tackle,75
361,2,tackle,108
362,2,tackle,76
364,2,tackle,111
366,2,tackle,108
368,2,tackle,107
376,2,tackle,89
377,2,tackle,105
380,2,tackle,92
382,2,tackle,74
384,2,tackle,97
388,2,tackle,93
390,2,tackle,112
391,2,tackle,91
392,2,tackle,96
393,2,tackle,116
395,2,tackle,106
397,2,tackle,78
398,2,tackle,111
400,2,tackle,76
407,2,tackle,93
409,2,tackle,66
410,2,tackle,92
413,2,tackle,82
417,2,tackle,105
418,2,tackle,77
433,2,tackle,82
438,2,tackle,115
441,2,tackle,76
449,2,tackle,102
450,2,tackle,69
454,2,tackle,88
458,2,tackle,99
466,2,tackle,98
467,2,tackle,101
469,2,tackle,104
470,2,tackle,90
474,2,tackle,103
478,2,tackle,112
483,2,tackle,85
484,2,tackle,112
486,2,tackle,114
489,2,tackle,73
491,2,tackle,74
495,2,tackle,94
498,2,tackle,69
503,2,tackle,92
507,2,tackle,112
513,2,tackle,80
517,2,tackle,101
519,2,tackle,115
526,2,tackle,81
531,2,tackle,99
537,2,tackle,83
538,2,tackle,87
542,2,tackle,98
544,2,tackle,107
549,2,tackle,86
554,2,tackle,92
557,2,tackle,100
558,2,tackle,80
562,2,tackle,99
563,2,tackle,71
564,2,tackle,102
575,2,tackle,77
578,2,tackle,99
581,2,tackle,116
582,2,tackle,94
591,2,tackle,79
597,2,tackle,86
600,2,tackle,113
603,2,tackle,115
607,2,tackle,116
608,2,tackle,110
615,2,tackle,92
617,2,tackle,85
620,2,tackle,116
623,2,tackle,77
627,2,tackle,103
630,2,tackle,67
636,2,tackle,87
637,2,tackle,73
640,2,tackle,76
643,2,tackle,109
645,2,tackle,111
647,2,tackle,109
651,2,tackle,98
653,2,tackle,115
654,2,tackle,112
655,2,tackle,83
656,2,tackle,75
659,2,tackle,113
662,2,tackle,66
667,2,tackle,100
668,2,tackle,90
669,2,tackle,105
674,2,tackle,76
675,2,tackle,87
676,2,tackle,82
681,2,tackle,89
682,2,tackle,92
683,2,tackle,85
687,2,tackle,97
690,2,tackle,72
694,2,tackle,85
695,2,tackle,105
698,2,tackle,67
699,2,tackle,107
700,2,tackle,113
701,2,tackle,97
705,2,tackle,95
706,2,tackle,109
708,2,tackle,66
710,2,tackle,84
715,2,tackle,97
717,2,tackle,99
718,2,tackle,105
724,2,tackle,109
725,2,tackle,84
726,2,tackle,91
735,2,tackle,106
737,2,tackle,78
738,2,tackle,115
739,2,tackle,89
740,2,tackle,89
746,2,tackle,72
751,2,tackle,108
752,2,tackle,90
758,2,tackle,107
759,2,tackle,94
762,2,tackle,93
764,2,tackle,89
765,2,tackle,74
768,2,tackle,90
770,2,tackle,116
774,2,tackle,86
775,2,tackle,97
784,2,tackle,110
785,2,tackle,90
787,2,tackle,99
788,2,tackle,114
789,2,tackle,94
791,2,tackle,68
799,2,tackle,80
803,2,tackle,76
806,2,tackle,87
808,2,tackle,68
811,2,tackle,100
813,2,tackle,83
823,2,tackle,107
826,2,tackle,79
827,2,tackle,77
837,2,tackle,88
844,2,tackle,92
845,2,tackle,86
852,2,tackle,87
854,2,tackle,95
856,2,tackle,88
858,2,tackle,91
859,2,tackle,92
864,2,tackle,67
866,2,tackle,69
870,2,tackle,66
871,2,tackle,69
872,2,tackle,114
877,2,tackle,87
878,2,tackle,98
880,2,tackle,102
882,2,tackle,115
883,2,tackle,93
884,2,tackle,101
888,2,tackle,103
891,2,tackle,82
896,2,tackle,110
899,2,tackle,79
901,2,tackle,83
903,2,tackle,107
904,2,tackle,98
905,2,tackle,70
907,2,tackle,89
908,2,tackle,80
909,2,tackle,74
910,2,tackle,110
912,2,tackle,71
913,2,tackle,108
915,2,tackle,111
940,2,tackle,91
946,2,tackle,98
950,2,tackle,101
952,2,tackle,93
954,2,tackle,99
961,2,tackle,81
962,2,tackle,67
963,2,tackle,98
966,2,tackle,107
967,2,tackle,80
972,2,tackle,84
973,2,tackle,79
974,2,tackle,101
975,2,tackle,79
978,2,tackle,113
980,2,tackle,78
981,2,tackle,69
987,2,tackle,92
989,2,tackle,94
991,2,tackle,67
999,2,tackle,116
1003,2,tackle,79
1009,2,tackle,93
1014,2,tackle,90
1017,2,tackle,83
1018,2,tackle,86
1019,2,tackle,92
1021,2,tackle,99
1023,2,tackle,77
1024,2,tackle,101
1025,2,tackle,77
1026,2,tackle,85
1030,2,tackle,77
1031,2,tackle,104
1033,2,tackle,95
1036,2,tackle,79
1039,2,tackle,86
1043,2,tackle,67
1046,2,tackle,81
1050,2,tackle,80
1053,2,tackle,106
1054,2,tackle,96
1057,2,tackle,85
1060,2,tackle,105
1061,2,tackle,101
1063,2,tackle,68
1065,2,tackle,105
1068,2,tackle,112
1069,2,tackle,71
1077,2,tackle,95
1078,2,tackle,75
1079,2,tackle,116
1084,2,tackle,86
1087,2,tackle,109
1090,2,tackle,111
1100,2,tackle,106
1108,2,tackle,73
1111,2,tackle,66
1112,2,tackle,72
1116,2,tackle,116
1117,2,tackle,79
1118,2,tackle,106
1120,2,tackle,93
1121,2,tackle,66
1122,2,tackle,84
1124,2,tackle,109
1125,2,tackle,76
1132,2,tackle,81
1141,2,tackle,101
1144,2,tackle,103
1147,2,tackle,110
1148,2,tackle,85
1149,2,tackle,113
1152,2,tackle,78
1155,2,tackle,88
1160,2,tackle,98
1161,2,tackle,86
1167,2,tackle,111
1172,2,tackle,98
1173,2,tackle,112
1174,2,tackle,110
1175,2,tackle,91
1177,2,tackle,98
1181,2,tackle,91
1183,2,tackle,66
1184,2,tackle,90
1185,2,tackle,115
1186,2,tackle,93
1190,2,tackle,66
1195,2,tackle,102
1197,2,tackle,108
1198,2,tackle,74
1200,2,tackle,76
1203,2,tackle,71
1204,2,tackle,78
1207,2,tackle,109
1211,2,tackle,86
1212,2,tackle,98
1213,2,tackle,85
1214,2,tackle,81
1219,2,tackle,94
1221,2,tackle,83
1224,2,tackle,112
1226,2,tackle,114
1227,2,tackle,116
1235,2,tackle,92
1241,2,tackle,114
1243,2,tackle,102
1252,2,tackle,111
1253,2,tackle,86
1256,2,tackle,107
1262,2,tackle,97
1263,2,tackle,108
1269,2,tackle,111
1270,2,tackle,91
1272,2,tackle,79
1273,2,tackle,84
1275,2,tackle,111
1277,2,tackle,108
1280,2,tackle,77
1288,2,tackle,77
1296,2,tackle,85
1298,2,tackle,85
1299,2,tackle,109
1304,2,tackle,98
1306,2,tackle,75
1312,2,tackle,78
1313,2,tackle,101
1314,2,tackle,107
1320,2,tackle,80
1322,2,tackle,107
1323,2,tackle,77
1324,2,tackle,92
1328,2,tackle,104
1330,2,tackle,90
1332,2,tackle,67
1333,2,tackle,93
1342,2,tackle,96
1345,2,tackle,77
1347,2,tackle,87
1349,2,tackle,110
1359,2,tackle,66
1362,2,tackle,81
1364,2,tackle,101
1379,2,tackle,80
1381,2,tackle,111
1387,2,tackle,71
1390,2,tackle,85
1395,2,tackle,88
1400,2,tackle,80
1402,2,tackle,95
1408,2,tackle,111
1415,2,tackle,97
1417,2,tackle,88
1418,2,tackle,94
1421,2,tackle,78
1424,2,tackle,106
1427,2,tackle,97
1431,2,tackle,84
1437,2,tackle,102
1439,2,tackle,77
1442,2,tackle,88
1445,2,tackle,78
1446,2,tackle,109
1448,2,tackle,90
1449,2,tackle,83
1452,2,tackle,79
1456,2,tackle,107
1457,2,tackle,80
1459,2,tackle,106
1461,2,tackle,76
1462,2,tackle,89
1464,2,tackle,67
1467,2,tackle,79
1470,2,tackle,101
1472,2,tackle,109
1474,2,tackle,96
1476,2,tackle,73
1477,2,tackle,112
1480,2,tackle,84
1483,2,tackle,107
1485,2,tackle,71
1487,2,tackle,89
1488,2,tackle,71
1489,2,tackle,77
1502,2,tackle,97
1505,2,tackle,112
1506,2,tackle,72
1507,2,tackle,107
1510,2,tackle,83
1516,2,tackle,103
1517,2,tackle,67
1524,2,tackle,66
1525,2,tackle,79
1528,2,tackle,109
1536,2,tackle,80
1538,2,tackle,91
1541,2,tackle,73
1542,2,tackle,87
1543,2,tackle,109
1547,2,tackle,95
1552,2,tackle,71
1553,2,tackle,73
1555,2,tackle,77
1559,2,tackle,87
1560,2,tackle,95
1561,2,tackle,114
1562,2,tackle,107
1565,2,tackle,114
1567,2,tackle,68
1574,2,tackle,105
1579,2,tackle,78
1580,2,tackle,88
1581,2,tackle,108
1582,2,tackle,101
1586,2,tackle,115
1594,2,tackle,95
1595,2,tackle,70
1607,2,tackle,88
1619,2,tackle,72
1623,2,tackle,71
1624,2,tackle,68
1628,2,tackle,76
1629,2,tackle,105
1636,2,tackle,90
1642,2,tackle,73
1647,2,tackle,73
1648,2,tackle,93
1651,2,tackle,96
1652,2,tackle,88
1653,2,tackle,107
1654,2,tackle,114
1655,2,tackle,113
1656,2,tackle,90
1657,2,tackle,93
1659,2,tackle,87
1663,2,tackle,95
1667,2,tackle,101
1668,2,tackle,82
1672,2,tackle,79
1675,2,tackle,105
1680,2,tackle,94
1685,2,tackle,92
1686,2,tackle,67
1687,2,tackle,92
1694,2,tackle,111
1697,2,tackle,89
1700,2,tackle,114
1702,2,tackle,98
1703,2,tackle,110
1707,2,tackle,82
1710,2,tackle,115
1715,2,tackle,83
1718,2,tackle,112
1720,2,tackle,85
1721,2,tackle,95
1723,2,tackle,74
1728,2,tackle,81
1730,2,tackle,98
1731,2,tackle,112
1739,2,tackle,85
1742,2,tackle,110
1743,2,tackle,74
1745,2,tackle,71
1747,2,tackle,80
1749,2,tackle,89
1750,2,tackle,110
1751,2,tackle,66
1754,2,tackle,90
1765,2,tackle,67
1766,2,tackle,89
1768,2,tackle,78
1772,2,tackle,108
1775,2,tackle,81
1776,2,tackle,112
1777,2,tackle,83
1778,2,tackle,101
1786,2,tackle,90
1789,2,tackle,90
1793,2,tackle,94
1794,2,tackle,111
1796,2,tackle,83
1799,2,tackle,103
1801,2,tackle,76
1803,2,tackle,87
1804,2,tackle,98
1805,2,tackle,77
1806,2,tackle,103
1810,2,tackle,110
1813,2,tackle,95
1822,2,tackle,73
1824,2,tackle,67
1828,2,tackle,109
1829,2,tackle,102
1832,2,tackle,85
1836,2,tackle,104
1838,2,tackle,74
1841,2,tackle,67
1844,2,tackle,107
1846,2,tackle,67
1849,2,tackle,100
1853,2,tackle,94
1855,2,tackle,88
1858,2,tackle,80
1860,2,tackle,109
1861,2,tackle,116
1862,2,tackle,94
1865,2,tackle,99
1867,2,tackle,90
1872,2,tackle,96
1875,2,tackle,89
1877,2,tackle,110
1878,2,tackle,80
1882,2,tackle,113
1885,2,tackle,72
1888,2,tackle,98
1891,2,tackle,96
1894,2,tackle,113
1897,2,tackle,79
1900,2,tackle,88
1901,2,tackle,102
1903,2,tackle,116
1905,2,tackle,102
1906,2,tackle,108
1907,2,tackle,103
1915,2,tackle,99
1917,2,tackle,92
1918,2,tackle,70
1919,2,tackle,109
1920,2,tackle,74
1921,2,tackle,100
1923,2,tackle,107
1924,2,tackle,110
1926,2,tackle,72
1928,2,tackle,93
1934,2,tackle,111
1939,2,tackle,74
1943,2,tackle,115
1944,2,tackle,83
1948,2,tackle,108
1949,2,tackle,100
1951,2,tackle,102
1961,2,tackle,108
1962,2,tackle,79
1965,2,tackle,79
1968,2,tackle,112
1970,2,tackle,72
1972,2,tackle,72
1976,2,tackle,69
1981,2,tackle,99
1982,2,tackle,71
1984,2,tackle,88
1985,2,tackle,107
1997,2,tackle,101
1999,2,tackle,71
2000,2,tackle,82
2003,2,tackle,74
2004,2,tackle,89
2005,2,tackle,102
2007,2,tackle,73
2013,2,tackle,78
2015,2,tackle,115
2018,2,tackle,79
2021,2,tackle,114
2022,2,tackle,84
2030,2,tackle,98
2033,2,tackle,93
2039,2,tackle,86
2041,2,tackle,113
2046,2,tackle,114
2047,2,tackle,96
2049,2,tackle,99
2051,2,tackle,113
2052,2,tackle,81
2059,2,tackle,91
2064,2,tackle,107
2068,2,tackle,98
2071,2,tackle,105
2073,2,tackle,80
2077,2,tackle,90
2078,2,tackle,97
2080,2,tackle,70
2082,2,tackle,82
2083,2,tackle,74
2085,2,tackle,71
2086,2,tackle,101
2094,2,tackle,74
2100,2,tackle,115
2102,2,tackle,89
2104,2,tackle,76
2108,2,tackle,114
2111,2,tackle,115
2112,2,tackle,91
2114,2,tackle,98
2116,2,tackle,116
2119,2,tackle,75
2121,2,tackle,91
2123,2,tackle,97
2124,2,tackle,109
2125,2,tackle,108
2126,2,tackle,72
2130,2,tackle,84
2133,2,tackle,99
2135,2,tackle,111
2136,2,tackle,67
2138,2,tackle,92
2139,2,tackle,106
2143,2,tackle,91
2146,2,tackle,84
2151,2,tackle,112
2152,2,tackle,75
2157,2,tackle,75
2159,2,tackle,71
2160,2,tackle,116
2161,2,tackle,101
2164,2,tackle,115
2172,2,tackle,94
2173,2,tackle,97
2177,2,tackle,84
2178,2,tackle,83
2181,2,tackle,105
2185,2,tackle,68
2186,2,tackle,83
2203,2,tackle,90
2205,2,tackle,83
2208,2,tackle,97
2209,2,tackle,103
2214,2,tackle,89
2217,2,tackle,73
2219,2,tackle,93
2220,2,tackle,106
2221,2,tackle,113
2223,2,tackle,113
2226,2,tackle,86
2229,2,tackle,84
2232,2,tackle,85
2234,2,tackle,95
2238,2,tackle,70
2239,2,tackle,83
2242,2,tackle,94
2243,2,tackle,108
2244,2,tackle,73
2245,2,tackle,74
2252,2,tackle,73
2253,2,tackle,109
2255,2,tackle,66
2256,2,tackle,84
2257,2,tackle,73
2258,2,tackle,80
2259,2,tackle,82
2260,2,tackle,85
2279,2,tackle,82
2280,2,tackle,71
2284,2,tackle,68
2290,2,tackle,102
2292,2,tackle,102
2304,2,tackle,108
2306,2,tackle,114
2307,2,tackle,115
2312,2,tackle,98
2313,2,tackle,112
2314,2,tackle,92
2315,2,tackle,72
2317,2,tackle,102
