EventNum, EventIDType, EventName, EventData
1,1,kick,0
2,2,tackle,86
3,1,kick,0
4,2,tackle,81
5,3,pass,0
6,1,kick,0
7,1,kick,0
8,2,tackle,106
9,2,tackle,112
10,1,kick,0
11,1,kick,0
12,3,pass,0
13,3,pass,0
14,2,tackle,111
15,1,kick,0
16,3,pass,0
17,1,kick,0
18,1,kick,0
19,1,kick,0
20,1,kick,0
21,2,tackle,111
22,1,kick,0
23,2,tackle,112
24,3,pass,0
25,1,kick,0
26,1,kick,0
27,2,tackle,70
28,1,kick,0
29,2,tackle,109
30,1,kick,0
31,2,tackle,79
32,1,kick,0
33,1,kick,0
34,2,tackle,77
35,3,pass,0
36,3,pass,0
37,3,pass,0
38,2,tackle,78
39,1,kick,0
40,1,kick,0
41,1,kick,0
42,3,pass,0
43,1,kick,0
44,2,tackle,77
45,3,pass,0
46,3,pass,0
47,2,tackle,102
48,1,kick,0
49,2,tackle,81
50,1,kick,0
51,3,pass,0
52,1,kick,0
53,3,pass,0
54,1,kick,0
55,2,tackle,105
56,2,tackle,83
57,3,pass,0
58,1,kick,0
59,3,pass,0
60,2,tackle,78
61,3,pass,0
62,2,tackle,71
63,2,tackle,84
64,2,tackle,109
65,3,pass,0
66,2,tackle,75
67,1,kick,0
68,3,pass,0
69,1,kick,0
70,2,tackle,93
71,1,kick,0
72,1,kick,0
73,3,pass,0
74,1,kick,0
75,2,tackle,106
76,3,pass,0
77,1,kick,0
78,3,pass,0
79,3,pass,0
80,3,pass,0
81,3,pass,0
82,1,kick,0
83,3,pass,0
84,3,pass,0
85,1,kick,0
86,1,kick,0
87,1,kick,0
88,3,pass,0
89,1,kick,0
90,2,tackle,88
91,3,pass,0
92,3,pass,0
93,1,kick,0
94,3,pass,0
95,3,pass,0
96,2,tackle,66
97,1,kick,0
98,2,tackle,98
99,1,kick,0
100,3,pass,0
101,3,pass,0
102,1,kick,0
103,1,kick,0
104,2,tackle,87
105,1,kick,0
106,2,tackle,76
107,1,kick,0
108,3,pass,0
109,3,pass,0
110,1,kick,0
111,3,pass,0
112,1,kick,0
113,3,pass,0
114,3,pass,0
115,2,tackle,88
116,3,pass,0
117,1,kick,0
118,2,tackle,110
119,1,kick,0
120,3,pass,0
121,1,kick,0
122,3,pass,0
123,1,kick,0
124,1,kick,0
125,2,tackle,90
126,2,tackle,91
127,3,pass,0
128,1,kick,0
129,3,pass,0
130,3,pass,0
131,3,pass,0
132,2,tackle,66
133,2,tackle,108
134,2,tackle,92
135,3,pass,0
136,1,kick,0
137,2,tackle,86
138,3,pass,0
139,3,pass,0
140,1,kick,0
141,1,kick,0
142,2,tackle,114
143,1,kick,0
144,1,kick,0
145,2,tackle,72
146,2,tackle,94
147,2,tackle,94
148,3,pass,0
149,1,kick,0
150,3,pass,0
151,1,kick,0
152,1,kick,0
153,1,kick,0
154,2,tackle,108
155,1,kick,0
156,1,kick,0
157,2,tackle,101
158,2,tackle,81
159,3,pass,0
160,3,pass,0
161,1,kick,0
162,3,pass,0
163,2,tackle,80
164,3,pass,0
165,1,kick,0
166,2,tackle,96
167,3,pass,0
168,3,pass,0
169,3,pass,0
170,2,tackle,102
171,1,kick,0
172,1,kick,0
173,2,tackle,72
174,3,pass,0
175,3,pass,0
176,3,pass,0
177,2,tackle,79
178,2,tackle,112
179,3,pass,0
180,1,kick,0
181,2,tackle,80
182,2,tackle,92
183,3,pass,0
184,2,tackle,110
185,1,kick,0
186,1,kick,0
187,1,kick,0
188,1,kick,0
189,3,pass,0
190,1,kick,0
191,2,tackle,116
192,1,kick,0
193,3,pass,0
194,1,kick,0
195,1,kick,0
196,1,kick,0
197,2,tackle,66
198,2,tackle,112
199,3,pass,0
200,1,kick,0
201,2,tackle,73
202,3,pass,0
203,3,pass,0
204,2,tackle,74
205,1,kick,0
206,2,tackle,110
207,1,kick,0
208,3,pass,0
209,1,kick,0
210,2,tackle,108
211,1,kick,0
212,3,pass,0
213,3,pass,0
214,3,pass,0
215,3,pass,0
216,1,kick,0
217,3,pass,0
218,2,tackle,80
219,2,tackle,78
